ID,Name, DESCRIPITION ,image_url ,
personal photo 1, me and my bsf again , my bsf kissing my cheek and  both eye are closed and im smiling,assets\me and my bsf again.JPG,
 personal photo 2 , me and my bsf ,me and my bsf making a kissy face,assets\Me and my bsf.JPG,
 personal photo 3, me and izzie,me and my bsf posing ,assets\me and izzie.JPG,
 personal photo 4, me and hmg, me and my bsf posing in the mirror taking a selfie , assets\me and hmg.JPG,
 personal photo 5, me and my bf , me and my bf posing together taking a selfie , assets\me and my bf.JPG,
 personal photo 6, me and my siblings , me and my siblings posing for the camera , assets\me and my siblings.JPG,
 personal photo 7 , my older n me , my older brother holding me , assets\my older brother n me.JPG,
 personal photo 8 , myself , im sitting on a tractor posing for the camera, assets\myself.JPG, Assets/Myself.JPG
 personal photo 9 , me , im wearing small glasses posing , assets\me.JPG, Assets/me.JPG
 personal photo 10 , me being goofy , im wearing a hotdog costume making a funny face ,assets\me being goofy.JPG, Assets/me being goofy.JPG
 personal photo 11,  me being goofy again , im wearing a mask and a costume posing ,assets\me being goofy again.JPG, Assets/me being goofy again.JPG
 personal photo 12, me again,in personal photo 11 im wearing the same exact stuff but the im walking away from the camera,assets\me again.JPG, Assets/me again.JPG